,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression
,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore
Paper_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.235,0.2,53.0,0.3636,0.1494,0.2614,0.0,0.95,0.0,45.0,0.3614,0.1585,0.2048,0.0,2.577,0.0,168.0,0.4096,0.0825,0.2048,0.0,2.494,0.0,168.0,0.4014,0.1027,0.2177,0.0
1,0.875,0.0,45.0,0.4061,0.1846,0.2335,0.0,1.765,0.0,106.0,0.4479,0.1245,0.2162,0.0,1.057,0.0,62.0,0.4299,0.1132,0.215,0.0,1.369,0.0,88.0,0.3884,0.1,0.1901,0.0
2,0.965,0.0,49.0,0.3953,0.1529,0.2209,0.0,2.025,0.0,106.0,0.4464,0.0866,0.2232,0.0,1.571,0.0,99.0,0.4732,0.1622,0.2411,0.0,1.284,0.03,75.0,0.4545,0.1735,0.2424,0.0
3,1.354,0.0,93.0,0.4033,0.1222,0.2486,0.0,0.979,0.0,50.0,0.195,0.0316,0.1069,0.0,1.28,0.0,89.0,0.3352,0.0899,0.2179,0.0,2.002,0.0,126.0,0.4635,0.1519,0.2821,0.0
4,1.355,0.0,73.0,0.5114,0.212,0.3653,0.0,2.327,0.0,142.0,0.5119,0.1924,0.3276,0.0,1.384,0.0,87.0,0.3966,0.1565,0.2586,0.0,1.032,0.0,55.0,0.3535,0.102,0.1919,0.0
5,1.406,0.0,95.0,0.3048,0.0673,0.1524,0.0,2.599,0.0,172.0,0.3481,0.0412,0.1297,0.0,1.09,0.0,67.0,0.2747,0.0222,0.1319,0.0,1.095,0.0,65.0,0.2088,0.0222,0.0989,0.0
6,1.294,0.0,81.0,0.1702,0.087,0.1277,0.0,1.068,0.0,54.0,0.2121,0.0625,0.1212,0.0,1.362,0.0,81.0,0.1895,0.1075,0.1474,0.0,1.338,0.0,76.0,0.1591,0.0233,0.0909,0.0
7,1.137,0.0,67.0,0.3976,0.1585,0.2771,0.0,1.79,0.0,110.0,0.3254,0.0676,0.1722,0.0,0.885,0.0,52.0,0.3867,0.1757,0.2533,0.0,2.471,0.0,169.0,0.3284,0.0301,0.1418,0.0
8,1.206,0.0,67.0,0.4302,0.1749,0.2566,0.0,1.962,0.0,127.0,0.4049,0.0679,0.1779,0.0,1.479,0.0,103.0,0.44,0.1141,0.18,0.0,1.871,0.0,129.0,0.4817,0.1656,0.2622,0.0
9,1.123,0.0,65.0,0.338,0.1,0.2394,0.0,2.602,0.0,154.0,0.2894,0.0515,0.1362,0.0,1.0,0.0,58.0,0.3235,0.0299,0.1324,0.0,1.407,0.0,84.0,0.2963,0.0375,0.1358,0.0
10,1.077,0.04,63.0,0.1872,0.0347,0.1084,0.0,1.475,0.0,88.0,0.1944,0.0372,0.1204,0.0,1.224,0.0,71.0,0.1775,0.0482,0.0959,0.0,1.744,0.0,113.0,0.2582,0.044,0.1094,0.0
11,1.552,0.0,94.0,0.4094,0.1111,0.2047,0.0,2.063,0.0,69.0,0.3493,0.0793,0.1747,0.0,0.973,0.02,63.0,0.2523,0.0364,0.1261,0.0,1.366,0.0,84.0,0.3306,0.0917,0.1983,0.0
